Risk,Workload,RecordType,Operation,FriendlyName,CustomDescription,Description
High,AzureActiveDirectory,AzureActiveDirectory,Add app role assignment grant to user.,,,
High,AzureActiveDirectory,AzureActiveDirectory,Add application.,,,
High,AzureActiveDirectory,AzureActiveDirectory,Add member to role.,Add member to Role,,Added a user to an admin role in Microsoft 365.
High,AzureActiveDirectory,AzureActiveDirectory,Add service principal.,Added service principal,,An application was registered in Microsoft Entra ID. An application is represented by a service principal in the directory.
High,AzureActiveDirectory,AzureActiveDirectory,Update PasswordProfile.,,,
High,Exchange,ExchangeAdmin,New-App,,,
High,Exchange,ExchangeAdmin,New-InboundConnector,,,Created a new Email connector. Can be used to send email from an account even after credentials have been reset. Seen used to send spam.
High,Exchange,ExchangeAdmin,New-InboxRule,Created new inbox rule in Outlook web app,,A mailbox owner or other user with access to the mailbox created an inbox rule in the Outlook web app.
High,Exchange,ExchangeAdmin,Set-InboundConnector,,,"Modified existing email connector. (#FIXME adding because I'm assuming there's also a Set operation. Only personally seen ""New"")"
High,Exchange,ExchangeAdmin,Set-InboxRule,Modified inbox rule from Outlook web app,,A mailbox owner or other user with access to the mailbox modified an inbox rule using the Outlook web app.
High,Exchange,ExchangeAdmin,UpdateInboxRules,Updated inbox rules from Outlook client,,"A mailbox owner or other user with access to the mailbox created, modified, or removed an inbox rule by using the Outlook client."
High,SharePoint,SharePoint,PIMRoleAssigned,,,
High,ThreatIntelligence,ThreatIntelligence,TIMailData,,Threat Intel Mail Event,Microsoft Threat Intel registers an event related to email. I've seen this event trigger when a phishing email is detected.
Low,AzureActiveDirectory,AzureActiveDirectory,Delete application password for user.,,,
Low,AzureActiveDirectory,AzureActiveDirectory,Enable Strong Authentication.,,,
Low,AzureActiveDirectory,AzureActiveDirectory,Set Company Information.,Set company information,,"Updated the company information for your organization. Includes email addresses for subscription-related email sent by Microsoft 365, and technical notifications about Microsoft 365 services."
Low,AzureActiveDirectory,AzureActiveDirectory,Update StsRefreshTokenValidFrom Timestamp.,,,
Low,AzureActiveDirectory,AzureActiveDirectory,Update user.,Admin updated user,,"Administrator changes one or more properties of a user account. For a list of the user properties that can be updated, see the ""Update user attributes"" section in Microsoft Entra audit Report Events."
Low,AzureActiveDirectory,50,Update user.,Admin updated user,,"Administrator changes one or more properties of a user account. For a list of the user properties that can be updated, see the ""Update user attributes"" section in Microsoft Entra audit Report Events."
Low,AzureActiveDirectory,AzureActiveDirectoryStsLogon,UserLoggedIn,User logged in*,,A user signed in to their Microsoft 365 user account.
Low,AzureActiveDirectory,AzureActiveDirectoryStsLogon,UserLoggedOff,User logged off*,,A user signed out of their Microsoft 365 user account.
Low,AzureActiveDirectory,AzureActiveDirectoryStsLogon,UserLoginFailed,,,
Low,Exchange,ExchangeItemAggregated,AttachmentAccess,,,
Low,Exchange,ExchangeItem,Create,Created mailbox item,,"An item is created in the Calendar, Contacts, Notes, or Tasks folder in the mailbox. For example, a new meeting request is created. Creating, sending, or receiving a message isn't audited. Also, creating a mailbox folder isn't audited."
Low,Exchange,ExchangeItemGroup,HardDelete,Purged messages from the mailbox,,A message was purged from the Recoverable Items folder (permanently deleted from the mailbox).
Low,Exchange,ExchangeItem,MailItemsAccessed,Accessed mailbox items,,Messages were read or accessed in mailbox. Audit records for this activity are triggered in one of two ways: when a mail client (such as Outlook) performs a bind operation on messages or when mail protocols (such as Exchange ActiveSync or IMAP) sync items in a mail folder. Analyzing audit records for this activity is useful when investigating compromised email account.
Low,Exchange,ExchangeItemAggregated,MailItemsAccessed,Accessed mailbox items,,Messages were read or accessed in mailbox. Audit records for this activity are triggered in one of two ways: when a mail client (such as Outlook) performs a bind operation on messages or when mail protocols (such as Exchange ActiveSync or IMAP) sync items in a mail folder. Analyzing audit records for this activity is useful when investigating compromised email account.
Low,Exchange,50,MailItemsAccessed,Accessed mailbox items,,Messages were read or accessed in mailbox. Audit records for this activity are triggered in one of two ways: when a mail client (such as Outlook) performs a bind operation on messages or when mail protocols (such as Exchange ActiveSync or IMAP) sync items in a mail folder. Analyzing audit records for this activity is useful when investigating compromised email account.
Low,Exchange,ExchangeItemGroup,MoveToDeletedItems,Moved messages to Deleted Items folder,,A message was deleted and moved to the Deleted Items folder.
Low,Exchange,ExchangeItem,Send,Sent message,,"A message was sent, replied to or forwarded."
Low,Exchange,ExchangeItem,SendOnBehalf,Sent message using Send On Behalf permissions,,A message was sent using the SendOnBehalf permission. This means that another user sent the message on behalf of the mailbox owner. The message indicates to the recipient whom the message was sent on behalf of and who actually sent the message.
Low,Exchange,ExchangeAdmin,Set-ConditionalAccessPolicy,,,
Low,Exchange,ExchangeAdmin,Set-SyncUser,,,
Low,Exchange,ExchangeItemGroup,SoftDelete,Deleted messages from Deleted Items folder,,A message was permanently deleted or deleted from the Deleted Items folder. These items are moved to the Recoverable Items folder. Messages are also moved to the Recoverable Items folder when a user selects it and presses Shift+Delete.
Low,Exchange,ExchangeItem,Update,Updated message,,A message or its properties was changed.
